iter	RMSE
721	162632.669
722	162594.6081
723	162549.8622
724	162504.1978
725	162424.908
726	162355.1253
727	162300.9098
728	162258.8136
729	162201.469
730	162121.2387
731	162110.5282
732	162038.707
733	162000.8814
734	161975.4973
735	161907.8518
736	161859.8366
737	161797.1903
738	161713.0427
739	161690.3266
740	161656.6946
741	161626.6256
742	161608.6633
743	161540.5608
744	161529.3215
745	161491.3045
746	161433.9525
747	161375.2428
748	161319.3918
749	161255.1497
750	161196.3612
751	161155.8567
752	161111.4836
753	161050.5514
754	160990.7329
755	160927.7599
756	160873.7768
757	160829.9341
758	160764.2026
759	160691.9069
760	160654.2733
761	160592.8687
762	160520.2603
763	160500.6812
764	160452.237
765	160442.3574
766	160405.1655
767	160339.4966
768	160271.8352
769	160231.0313
770	160177.2182
771	160123.044
772	160067.211
773	160018.1115
774	159965.0027
775	159926.5115
776	159864.043
777	159791.9394
778	159765.3024
779	159726.8243
780	159695.9474
781	159656.0071
782	159615.3823
783	159572.5549
784	159515.3682
785	159476.2008
786	159439.4525
787	159388.1074
788	159314.0323
789	159211.6064
790	159173.013
791	159102.9426
792	159066.9902
793	158960.164
794	158912.0178
795	158872.2682
796	158818.5074
797	158779.7275
798	158720.3848
799	158681.2087
800	158652.2799
801	158594.1215
802	158561.1836
803	158513.5394
804	158486.1659
805	158424.5831
806	158372.3664
807	158302.5891
808	158266.2704
809	158217.1997
810	158128.3496
811	158064.5773
812	158063.5939
813	158014.0061
814	157976.782
815	157924.8687
816	157855.2069
817	157818.6546
818	157780.546
819	157723.5395
820	157664.224
821	157606.4797
822	157542.1067
823	157472.9693
824	157447.7559
825	157392.3286
826	157364.3369
827	157307.8712
828	157256.8006
829	157198.734
830	157156.7756
831	157117.7925
832	157056.4457
833	157000.5664
834	156944.8405
835	156901.8587
836	156857.9271
837	156840.402
838	156801.8655
839	156733.2066
840	156687.4174
841	156686.5179
842	156639.1592
843	156576.135
844	156524.5309
845	156475.4871
846	156427.116
847	156356.8791
848	156315.3136
849	156249.6046
850	156235.5821
851	156189.862
852	156151.5246
853	156113.5083
854	156112.5902
855	156033.9281
856	155983.0213
857	155956.5382
858	155905.9027
859	155844.45
860	155775.9652
861	155725.5439
862	155682.7089
863	155635.0111
864	155580.9523
865	155517.6946
866	155479.5547
867	155478.7485
868	155453.2531
869	155425.5523
870	155370.0845
871	155337.6408
872	155316.6862
873	155259.4931
874	155203.2348
875	155154.6882
876	155104.5696
877	155031.7983
878	154985.3366
879	154932.5383
880	154877.4381
881	154807.0213
882	154737.3506
883	154681.9528
884	154598.1738
885	154567.1952
886	154508.2997
887	154448.6173
888	154407.826
889	154365.5461
890	154309.4383
891	154254.2361
892	154221.4147
893	154166.3671
894	154121.5115
895	154100.5086
896	154071.1398
897	154031.7964
898	153996.6997
899	153933.9366
900	153902.5015
901	153869.7273
902	153840.4693
903	153781.6201
904	153737.8898
905	153737.1192
906	153677.1355
907	153615.2206
908	153560.946
909	153478.3132
910	153442.0309
911	153399.4719
912	153354.4087
913	153353.5051
914	153256.5106
915	153177.5761
916	153113.7853
917	153076.5068
918	153049.8083
919	152986.3031
920	152934.3073
921	152885.8621
922	152837.0527
923	152800.1316
924	152739.3644
925	152712.1624
926	152662.924
927	152606.1189
928	152514.5102
929	152456.1296
930	152420.1932
931	152344.2448
932	152316.5565
933	152315.703
934	152314.9642
935	152314.2692
936	152256.0079
937	152255.2665
938	152226.2931
939	152193.4876
940	152137.4384
941	152089.2403
942	152053.081
943	151989.9069
944	151951.8316
945	151893.9967
946	151857.4282
947	151816.271
948	151774.7535
949	151736.9142
950	151703.6553
951	151626.7897
952	151534.0871
953	151501.8849
954	151438.285
955	151437.6162
956	151399.631
957	151319.3615
958	151292.8291
959	151275.565
960	151207.7142
961	151174.1234
962	151081.7678
963	151055.8356
964	151016.2661
965	150974.979
966	150974.3549
967	150924.9635
968	150924.2295
969	150877.8155
970	150811.8342
971	150795.1415
972	150761.8724
973	150686.2926
974	150637.9088
975	150593.1317
976	150517.5036
977	150428.6627
978	150375.2026
979	150299.4712
980	150268.9414
981	150218.8545
982	150184.6403
983	150136.2992
984	150094.5132
985	150059.753
986	150006.7595
987	149973.3256
988	149921.9674
989	149843.5122
990	149798.0445
991	149746.8018
992	149719.1572
993	149718.4582
994	149672.2767
995	149636.4787
996	149600.9285
997	149552.2374
998	149512.6553
999	149458.3161
